key,value,date
Gallimard,1,1908
Gallimard,1,1909
Gallimard,3,1910
Gallimard,3,1911
Gallimard,2,1912
Gallimard,1,1913
Gallimard,0,1914
Gallimard,0,1915
Gallimard,1,1916
Gallimard,3,1917
Gallimard,4,1918
Gallimard,3,1919
Gallimard,2,1920
Gallimard,3,1921
Gallimard,4,1922
Gallimard,3,1923
Gallimard,2,1924
Gallimard,2,1925
Gallimard,1,1926
Gallimard,2,1927
Gallimard,1,1928
Grasset,3,1908
Grasset,3,1909
Grasset,3,1910
Grasset,2,1911
Grasset,2,1912
Grasset,2,1913
Grasset,3,1914
Grasset,2,1915
Grasset,1,1916
Grasset,4,1917
Grasset,3,1918
Grasset,3,1919
Grasset,3,1920
Grasset,2,1921
Grasset,2,1922
Grasset,2,1923
Grasset,1,1924
Grasset,3,1925
Grasset,3,1926
Grasset,4,1927
Grasset,4,1928
Fayard,2,1908
Fayard,2,1909
Fayard,2,1910
Fayard,2,1911
Fayard,2,1912
Fayard,2,1913
Fayard,3,1914
Fayard,3,1915
Fayard,4,1916
Fayard,3,1917
Fayard,3,1918
Fayard,4,1919
Fayard,4,1920
Fayard,3,1921
Fayard,2,1922
Fayard,2,1923
Fayard,3,1924
Fayard,4,1925
Fayard,4,1926
Fayard,4,1927
Fayard,4,1928
Hachette,1,1908
Hachette,1,1909
Hachette,3,1910
Hachette,3,1911
Hachette,2,1912
Hachette,1,1913
Hachette,0,1914
Hachette,0,1915
Hachette,1,1916
Hachette,3,1917
Hachette,4,1918
Hachette,3,1919
Hachette,2,1920
Hachette,3,1921
Hachette,4,1922
Hachette,3,1923
Hachette,2,1924
Hachette,2,1925
Hachette,1,1926
Hachette,2,1927
Hachette,1,1928
Flammarion,1,1908
Flammarion,1,1909
Flammarion,3,1910
Flammarion,3,1911
Flammarion,2,1912
Flammarion,1,1913
Flammarion,0,1914
Flammarion,0,1915
Flammarion,1,1916
Flammarion,3,1917
Flammarion,4,1918
Flammarion,3,1919
Flammarion,2,1920
Flammarion,3,1921
Flammarion,4,1922
Flammarion,3,1923
Flammarion,2,1924
Flammarion,2,1925
Flammarion,1,1926
Flammarion,2,1927
Flammarion,1,1928